LABEL,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum
1,30936413.18,1638.578939,1639.015268,18875,8.243276701,67.95161077,1639.035997,1652.895484,1652.895484,1624.959382,4778517994,253181.3906,253166.5162,18875,210.7795919,44428.03637,253166.604,254070.3281,254070.3281,251575.625,1021908.759,53.95256805,54.14086138,18875,0.379544762,0.144054226,54.14219173,55.50450516,55.50450516,53.72141266,38746735.29,2052.806837,2052.807168,18875,0.005705355,3.26E-05,2052.807168,2052.835368,2052.835368,2052.783242,32064402.34,1698.7883,1698.776283,18875,0.024067778,0.000579258,1698.776283,1698.833094,1698.833094,1698.702699,5593043602,296006,296320.1908,18875,5935.16134,35226140.13,296379.6242,306314,306314,286200,58129408,3079.703735,18875,7835.61111,61396801.47,8419.107825,40960,40960
1,29290752.25,1611.00291,1610.532372,18187,7.946956042,63.15411033,1610.551978,1623.893382,1623.893382,1596.778991,374251429.7,20588.06445,20577.96391,18187,46.20252768,2134.673564,20578.01578,20730.03711,20730.03711,20440.47852,302511.4205,16.06288147,16.63338761,18187,1.474073748,2.172893416,16.69857709,23.90045547,23.90045547,15.99193859,33974821.47,1868.083453,1868.082777,18187,0.01094592,0.000119813,1868.082777,1868.113647,1868.113647,1868.047653,18921755.32,1040.400114,1040.400029,18187,0.018604227,0.000346117,1040.400029,1040.467615,1040.467615,1040.339999,5016233378,276153,275814.2287,18187,5721.702555,32737880.13,275873.5701,285434,285434,265912,88973312,4892.137901,18187,9049.447666,81892503.07,10287.15297,40960,40960
1,24472942.83,1338.14388,1338.855672,18279,8.162887118,66.6327261,1338.880556,1353.175748,1353.175748,1325.295349,655338149,35865.53125,35851.96942,18279,70.67099726,4994.389854,35852.03907,36020.21484,36020.21484,35639.54688,387958.1256,21.2426548,21.22425328,18279,0.171583106,0.029440762,21.22494683,21.74427795,21.74427795,20.91929245,29386322.75,1607.653814,1607.654836,18279,0.008266386,6.83E-05,1607.654836,1607.69465,1607.69465,1607.542491,24416219.39,1335.75386,1335.752469,18279,0.031297811,0.000979553,1335.75247,1335.845093,1335.845093,1335.646663,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,1536,0.084030855,18279,6.558714555,43.01673662,6.559252839,512,512
1,2070182.552,1697.379595,1696.870944,1220,7.872847655,61.98173019,1696.889208,1710.181476,1710.181476,1683.390008,118991678.6,97530.71094,97534.16275,1220,76.4010157,5837.1152,97534.19267,97793.54688,97793.54688,97152.24219,12060.13684,9.63990593,9.885358064,1220,0.649414865,0.421739667,9.90666663,14.92621803,14.92621803,9.543255806,1851485.504,1517.608068,1517.611069,1220,0.014812378,0.000219407,1517.611069,1517.66558,1517.66558,1517.587295,1529952.648,1254.050537,1254.059548,1220,0.037849471,0.001432582,1254.059548,1254.122631,1254.122631,1254.011851,27487926,22555.5,22531.08689,1220,377.8995278,142808.0531,22534.2558,23170,23170,21884,4427776,3629.32459,1220,9377.905361,87945108.96,10055.70017,32768,32768
1,24472957.25,1338.144681,1338.856461,18279,8.162841827,66.6319867,1338.881345,1353.176445,1353.176445,1325.2962,392200483.2,21454.6582,21456.34243,18279,53.1225602,2822.006402,21456.40819,21600.83398,21600.83398,21314.21289,302443.5154,16.54311752,16.54595522,18279,0.122251933,0.014945535,16.54640685,16.95683289,16.95683289,16.34220695,19758316.61,1080.931007,1080.929843,18279,0.008487013,7.20E-05,1080.929843,1081.030322,1081.030322,1080.879401,27895926.16,1526.119421,1526.118834,18279,0.032683782,0.00106823,1526.118834,1526.221103,1526.221103,1526.047548,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,0,0,18279,0,0,0,0,0
1,20445605.51,1526.755467,1528.986352,13372,7.949833635,63.19985482,1529.00702,1542.004749,1542.004749,1517.351814,710504792.5,53106.83398,53133.7715,13372,1046.659067,1095495.203,53144.07934,98520.52344,98520.52344,52831.81641,336495.4701,25.11296654,25.16418412,13372,0.389860239,0.151991006,25.16720393,33.50261307,33.50261307,25.04767227,6771406.621,506.3844836,506.3869744,13372,0.014399928,0.000207358,506.3869746,506.4829735,506.4829735,506.2964062,1468015.471,109.7885735,109.7827902,13372,0.094840589,0.008994737,109.7828312,109.9003233,109.9003233,109.2517591,2903044617,215492.5,217098.7599,13372,5723.846684,32762420.86,217174.2019,226472,226472,208722,7276688,544.1734969,13372,4084.964239,16686932.84,4121.05055,32768,32768
1,24473000.32,1338.147068,1338.858817,18279,8.162795265,66.63122654,1338.883701,1353.178681,1353.178681,1325.298596,792500307.4,43356.69141,43355.78026,18279,38.32498306,1468.804327,43355.7972,45826.10938,45826.10938,43134.07422,419233.8948,22.93004417,22.93527517,18279,0.055044468,0.003029893,22.93534122,23.1274128,23.1274128,22.82539558,30004768.45,1641.488474,1641.488509,18279,0.007014095,4.92E-05,1641.488509,1641.596947,1641.596947,1641.453953,24730117.9,1352.923387,1352.9251,18279,0.021201446,0.000449501,1352.9251,1353.007601,1353.007601,1352.834769,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,544,0.029760928,18279,3.790565988,14.36839051,3.790682817,512,512
1,24472931.62,1338.14325,1338.855059,18279,8.162992325,66.6344437,1338.879943,1353.175329,1353.175329,1325.294571,3600482759,196996.1406,196973.7272,18279,115.7239042,13392.022,196973.7612,197356.8281,197356.8281,196037.8594,865516.0201,47.37745285,47.35029379,18279,0.082740939,0.006846063,47.35036608,47.49829865,47.49829865,47.15182495,13759540.16,752.7516028,752.7512536,18279,0.009249299,8.55E-05,752.7512536,752.7968224,752.7968224,752.5905029,4517583.066,247.1500236,247.1460729,18279,0.031658468,0.001002259,247.1460749,247.2936573,247.2936573,247.0358667,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,1536,0.084030855,18279,6.558714555,43.01673662,6.559252839,512,512
1,20445610.08,1526.75586,1528.986695,13372,7.949659516,63.19708642,1529.007361,1542.004802,1542.004802,1517.352404,229290872.5,17090.83105,17147.08888,13372,2727.308367,7438210.93,17362.62849,131926.6406,131926.6406,16421.73242,200705.0537,14.80399609,15.00935191,13372,1.430403292,2.046053578,15.07735714,38.61290741,38.61290741,14.48301792,6608125.028,494.2022416,494.1762659,13372,0.067179219,0.004513047,494.1762705,494.3701288,494.3701288,493.7901137,23112406.24,1728.403114,1728.418056,13372,0.059569778,0.003548558,1728.418057,1728.537099,1728.537099,1728.200353,2903044617,215492.5,217098.7599,13372,5723.846684,32762420.86,217174.2019,226472,226472,208722,2085008,155.9234221,13372,783.7769368,614306.2867,799.1360336,4096,4096
1,1633199.011,1503.869801,1503.866492,1086,7.311626045,53.45987542,1503.884266,1516.077856,1516.077856,1491.661533,17419100.24,16044.52881,16039.68714,1086,25.71172422,661.0927625,16039.70775,16091.75488,16091.75488,15968.5459,3962.680755,3.647684813,3.648877306,1086,0.011077476,0.00012271,3.648894121,3.785178185,3.785178185,3.6385746,1528708.366,1407.653749,1407.650429,1086,0.018198501,0.000331185,1407.650429,1407.697091,1407.697091,1407.62361,811097.8542,746.8617745,746.8672691,1086,0.025352694,0.000642759,746.8672695,746.9060307,746.9060307,746.8232735,14407791,13267,13266.84254,1086,350.963011,123175.0351,13271.48394,13853,13853,12681,0,0,1086,0,0,0,0,0
1,31262005.54,1696.341878,1696.808811,18424,7.894572844,62.32428039,1696.827176,1710.202518,1710.202518,1683.352167,374226098.3,20312.09473,20311.88115,18424,25.42318854,646.3385156,20311.89706,20541.54102,20541.54102,20208.66602,362704.1109,19.70154762,19.68650189,18424,0.175585556,0.030830288,19.68728491,20.09177017,20.09177017,19.30020905,14012519.45,760.5582448,760.5579378,18424,0.005713683,3.26E-05,760.5579378,760.5902218,760.5902218,760.5315118,9601318.945,521.1314677,521.131076,18424,0.010730672,0.000115147,521.1310762,521.1742617,521.1742617,521.0959426,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,512,0.027789839,18424,3.771952474,14.22762547,3.772054843,512,512
1,31262034.6,1696.343484,1696.810389,18424,7.894420476,62.32187465,1696.828753,1710.203815,1710.203815,1683.35398,1595467869,86599.85938,86597.25731,18424,58.35473225,3405.274776,86597.27698,87054.07031,87054.07031,86199.8125,600693.326,32.56000137,32.60384965,18424,0.167466603,0.028045063,32.60427974,33.0460434,33.0460434,32.2922554,28992808.22,1573.643276,1573.64352,18424,0.005247054,2.75E-05,1573.64352,1573.671083,1573.671083,1573.617745,16594011.86,900.6732471,900.6736788,18424,0.012994642,0.000168861,900.6736789,900.7204685,900.7204685,900.6292031,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,3072,0.166739036,18424,9.23810503,85.34258455,9.239609648,512,512
1,31261972.25,1696.340053,1696.807004,18424,7.894538415,62.32373679,1696.825369,1710.20068,1710.20068,1683.350445,381452890.5,20736.16406,20704.12997,18424,172.6164888,29796.45219,20704.84953,20986.4375,20986.4375,20307.72461,331808.0835,18.08471394,18.00955729,18424,0.337770347,0.114088808,18.01272446,18.53951836,18.53951836,17.05861092,23564027.37,1278.985405,1278.98542,18424,0.003980539,1.58E-05,1278.98542,1279.017482,1279.017482,1278.960757,22005559.08,1194.392138,1194.396389,18424,0.018009238,0.000324333,1194.39639,1194.436874,1194.436874,1194.352855,6226126923,337599.5,337935.6775,18424,5684.017755,32308057.84,337983.4762,347579,347579,328247,1536,0.083369518,18424,6.532858697,42.67824275,6.533390638,512,512
