,Star_ID,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__median,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum,quality__minimum,Boolean
1,TIC 259863352,24472983.22,1338.146106,1338.857881,18279,8.162954822,66.63383143,1338.882766,1353.178039,1353.178039,1325.29741,4074535487,222922.9688,222908.0085,18279,115.8063948,13411.12108,222908.0386,225712.9219,225712.9219,221614.6406,922360.2459,50.46253967,50.46010427,18279,0.094709804,0.008969947,50.46019315,50.65060043,50.65060043,50.29664612,5727825.599,313.3555371,313.3555226,18279,0.007043874,4.96162E-05,313.3555227,313.3989336,313.3989336,313.2212753,18974934.38,1038.079665,1038.072891,18279,0.027897266,0.000778257,1038.072892,1038.183647,1038.183647,1037.978756,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,2576,0,0.140926747,18279,8.467613268,71.70047446,8.468785911,512,512,0,0
1,TIC 317060587,24473003.07,1338.147221,1338.858967,18279,8.162784433,66.6310497,1338.883851,1353.17881,1353.17881,1325.298762,723688611,39592.36328,39591.25833,18279,40.38136811,1630.65489,39591.27892,42408.12109,42408.12109,39408.25781,403040.188,22.04027557,22.04935653,18279,0.070955294,0.005034654,22.0494707,22.28961372,22.28961372,21.93963432,32700419.88,1788.960418,1788.961096,18279,0.007806621,6.09433E-05,1788.961096,1789.067531,1789.067531,1788.925589,18936413.56,1035.963811,1035.96551,18279,0.020721674,0.000429388,1035.96551,1036.049071,1036.049071,1035.87369,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,544,0,0.029760928,18279,3.790565988,14.36839051,3.790682817,512,512,0,0
1,TIC 320004517,32431206.58,1668.639391,1668.186132,19441,8.369549732,70.04936272,1668.207127,1682.361559,1682.361559,1653.925272,1725328981,88751.4375,88746.9256,19441,100.7792214,10156.45147,88746.98282,95295.74219,95295.74219,88309.72656,629264.4757,32.33605194,32.36790678,19441,0.161803504,0.026180374,32.3683112,32.97760391,32.97760391,32.1398201,28697624.6,1476.141411,1476.139324,19441,0.009648282,9.30893E-05,1476.139324,1476.167943,1476.167943,1476.091198,8830143.205,454.1879791,454.2021092,19441,0.040253951,0.001620381,454.202111,454.2951193,454.2951193,454.113362,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,18155552,0,933.8795329,19441,2603.424502,6777819.14,2765.85432,8704,8704,0,0
1,TIC 323132914,28002051.09,1583.132169,1582.752153,17692,7.657791994,58.64177822,1582.770678,1595.681686,1595.681686,1569.438134,453996422.6,25642.98535,25661.11364,17692,99.41768517,9883.876125,25661.30623,26260.52539,26260.52539,25490.04883,333342.4274,18.10996628,18.8414214,17692,2.09924428,4.406826545,18.95800588,29.06766701,29.06766701,18.05306816,2925682.492,165.3648525,165.3675386,17692,0.0131104,0.000171883,165.3675391,165.4025603,165.4025603,165.3218787,1219086.594,68.90823919,68.90609279,17692,0.037481887,0.001404892,68.90610299,69.00830375,69.00830375,68.82501799,4525841784,256086.5,255812.8976,17692,5513.50584,30398746.64,255872.3067,265122,265122,246227,36037120,0,2036.91612,17692,5737.412327,32917900.21,6088.261451,32768,32768,0,0
1,TIC 380783252,32431199.44,1668.639008,1668.185764,19441,8.369368493,70.04632897,1668.206759,1682.360891,1682.360891,1653.925218,410496030.2,21146.03906,21114.96478,19441,302.2183247,91335.91577,21117.12749,23518.10938,23518.10938,20278.06836,315751.6872,16.23307991,16.24153527,19441,0.214574837,0.04604236,16.24295264,17.05283165,17.05283165,15.80961132,29871070.16,1536.496257,1536.498645,19441,0.013881782,0.000192704,1536.498645,1536.527387,1536.527387,1536.44068,27809073.14,1430.422752,1430.434296,19441,0.02282534,0.000520996,1430.434296,1430.491667,1430.491667,1430.36873,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,18155552,0,933.8795329,19441,2603.424502,6777819.14,2765.85432,8704,8704,0,0
1,TIC 101230735,32431209.62,1668.639553,1668.186288,19441,8.369620876,70.0505536,1668.207283,1682.361833,1682.361833,1653.925304,416794328.5,21040.51563,21438.93465,19441,3943.681289,15552622.11,21798.63622,83968.96094,83968.96094,20888.02734,335513.3206,16.55874825,17.25802791,19441,2.333576479,5.445579181,17.41508273,31.30607986,31.30607986,16.19621086,30649672.22,1576.549215,1576.548131,19441,0.017231627,0.000296929,1576.548131,1576.61149,1576.61149,1576.388707,6835185.99,351.6084818,351.5861319,19441,0.048774279,0.00237893,351.5861353,351.6791758,351.6791758,351.481509,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,26512176,0,1363.724911,19441,3819.374969,14587625.16,4055.53582,12288,12288,0,0
1,TIC 299799658,24472983.36,1338.146123,1338.857889,18279,8.162863765,66.63234484,1338.882773,1353.177888,1353.177888,1325.297569,465088741.5,25450.08984,25443.88322,18279,46.18889474,2133.413998,25443.92515,27961.14453,27961.14453,25292.4043,329510.7339,18.03072739,18.02673745,18279,0.099856897,0.0099714,18.02701402,18.28885269,18.28885269,17.82844162,24585497.48,1345.012712,1345.013265,18279,0.005906864,3.4891E-05,1345.013265,1345.04972,1345.04972,1344.893896,19494663.21,1066.512323,1066.506002,18279,0.028094343,0.000789292,1066.506003,1066.611741,1066.611741,1066.409471,1466130977,79696,80208.48936,18279,5877.311668,34542792.44,80423.53236,90519,90519,70445,1552,0,0.084906176,18279,6.559770871,43.03059388,6.560320338,512,512,0,0
1,TIC 406976746,30936387.63,1638.577566,1639.013914,18875,8.243332204,67.95252583,1639.034644,1652.894244,1652.894244,1624.957955,695355564.3,36900.72266,36840.0299,18875,223.009266,49733.13273,36840.70488,39999.74219,39999.74219,36294.80859,407749.0154,21.36356926,21.60259684,18875,0.510013403,0.260113672,21.60861643,23.59648323,23.59648323,21.16085243,29041284.36,1538.609328,1538.611092,18875,0.01411515,0.000199237,1538.611092,1538.649382,1538.649382,1538.580122,23707783.34,1256.03982,1256.041502,18875,0.012153856,0.000147716,1256.041502,1256.078208,1256.078208,1255.995481,5593043602,296006,296320.1908,18875,5935.16134,35226140.13,296379.6242,306314,306314,286200,60647488,0,3213.111947,18875,7829.478627,61300735.57,8463.145039,40960,40960,0,0
1,TIC 201604954,32431207.27,1668.639422,1668.186167,19441,8.369483002,70.04824571,1668.207162,1682.361481,1682.361481,1653.92542,47125839.9,2421.175537,2424.044026,19441,36.82585217,1356.143388,2424.323737,6507.522949,6507.522949,2285.253418,134020.4973,6.872942924,6.893703887,19441,0.249395729,0.06219823,6.898213646,21.95718765,21.95718765,6.567838669,2580037.749,132.7107102,132.7111645,19441,0.011182954,0.000125058,132.711165,132.808961,132.808961,132.6701131,7324179.907,376.7279614,376.7388461,19441,0.027836047,0.000774846,376.7388471,376.823672,376.823672,376.6778878,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,18399776,0,946.4418497,19441,2608.736259,6805504.872,2775.11388,8192,8192,0,0
1,TIC 6663331,32431212.4,1668.63969,1668.186431,19441,8.369485798,70.04829252,1668.207426,1682.361745,1682.361745,1653.925675,13239710.49,579.7729492,681.0200345,19441,1246.359482,1553411.958,1420.281749,21306.22461,21306.22461,165.6644592,100266.6288,4.62998867,5.157483093,19441,1.969064729,3.877215908,5.520584005,15.99842834,15.99842834,3.875061512,39903402.77,2052.536729,2052.538592,19441,0.022445337,0.000503793,2052.538592,2053.509612,2053.509612,2051.709162,13363190.99,687.3809299,687.3715853,19441,0.03561116,0.001268155,687.3715863,687.937503,687.937503,686.1789331,6169070511,317649,317322.6949,19441,6026.038401,36313138.81,317379.9077,327529,327529,307055,29030560,0,1493.26475,19441,3851.04802,14830570.85,4130.424974,12288,12288,0,0
